,PC1,PC2,PC3,Class
sample_0,-18.362847491725937,-22.752127772586732,29.215058443311932,PRAD
sample_1,0.30619163226166,24.58549071945471,-2.0862689428639474,LUAD
sample_2,-12.856594954361196,8.6708323818565,13.283373316552062,PRAD
sample_3,-20.966932265734112,-13.825808681640408,24.491044307082593,PRAD
sample_4,-23.128980813754303,-3.262526998744469,-18.832036439417273,BRCA
sample_5,-10.362367205847924,-26.707521855680604,21.016181637386694,PRAD
sample_6,23.488684506047743,-12.723167578248425,1.0054290773940708,KIRC
sample_7,-9.208650795251303,-30.16843313726546,18.974997668406232,PRAD
sample_8,-10.057677392339425,5.511970828556098,-14.291653661474475,BRCA
sample_9,-17.811757631561793,-26.16964103042328,24.600921909366818,PRAD
sample_10,-19.96040268150035,-9.875265177510203,-16.993023929866766,BRCA
sample_11,50.75203837330708,-11.789344699158528,-8.331901175136807,KIRC
sample_12,-11.420176445465552,-25.417152771782625,26.79466079054301,PRAD
sample_13,-15.362669726572491,7.142978609261033,-14.735778174367633,BRCA
sample_14,-21.943687367060313,3.6396062502392286,-19.69196128117775,BRCA
sample_15,-18.073529647610357,-6.399384988581875,-23.989779310455372,BRCA
sample_16,3.4161905490786597,14.171498277864346,5.819503224471855,LUAD
sample_17,42.49723987730085,-13.10330546030799,-4.110039229659895,KIRC
sample_18,43.19079201278728,-10.149218237677688,-3.4147270834665022,KIRC
sample_19,-16.49812836422222,-17.098143024401445,28.158916781368703,PRAD
sample_20,-16.170574292275333,6.0079397286953675,-24.89149384466719,BRCA
sample_21,29.827608421005586,7.068312839250989,-2.2143857532388833,KIRC
sample_22,1.6589848752842562,11.206766587610206,6.980605901486997,LUAD
sample_23,-23.890405608488518,13.943236401841613,-19.075532765660085,BRCA
sample_24,53.76514088153125,-7.69711815428426,-8.568907123627344,KIRC
sample_25,3.2367559472359004,2.489425342713001,7.116276155453564,LUAD
sample_26,4.11743263927183,35.65617548784478,22.844659134747566,COAD
sample_27,-16.575069270090406,0.12780027364248978,-19.37804620926885,BRCA
sample_28,-10.54377848683529,5.434706464388368,-6.18061828305739,BRCA
sample_29,-14.549046929162369,-0.9432123498769156,0.8396874866065694,BRCA
sample_30,-14.907973059923485,4.64129708522738,-23.236084337282975,BRCA
sample_31,-22.376309900838326,4.31069760208179,-25.309171009957918,BRCA
sample_32,38.35098076747115,-5.9786482673879435,-8.14427411689039,KIRC
sample_33,-13.390130818755319,-6.376080152392095,-14.327807893322136,BRCA
sample_34,-17.24176098067352,-24.114407145642254,24.60815655144455,PRAD
sample_35,-20.059399052165976,4.109399169108184,-23.243460286065787,BRCA
sample_36,31.285803031933067,-13.766994640725652,-0.505047268521356,KIRC
sample_37,-0.0716145713973964,-2.2559541027948717,7.74146854587618,LUAD
sample_38,-17.15826328160049,-1.2827536052377926,-20.64708222764453,BRCA
sample_39,-19.61197488390714,1.0400866213760727,-11.710016873489604,BRCA
sample_40,47.74308807565429,-13.93557982010079,-9.944360724461385,KIRC
sample_41,-18.61706119035645,-30.853979952064126,31.912133800302122,PRAD
sample_42,-13.892982014601209,-23.098432682922002,24.71400165440228,PRAD
sample_43,49.33180371461461,-12.259589478259862,-6.757987461511975,KIRC
sample_44,51.83352322865446,-13.713158204817313,-7.44547886039246,KIRC
sample_45,-17.445374521885768,0.1781428752549715,-24.859592650392653,BRCA
sample_46,-16.53838059657693,-30.784457855779575,29.677848849572868,PRAD
sample_47,-0.7370670972056467,48.2410912924431,24.748774210815817,COAD
sample_48,-17.414094984406976,4.754343779669051,-24.45914614727136,BRCA
sample_49,-1.1787657397969362,16.497695756937468,4.969097770002967,LUAD
sample_50,-16.41307719939976,-0.36567834016141837,-21.795559645775985,BRCA
sample_51,1.9238842581176914,20.575389566073213,10.630011234077571,LUAD
sample_52,-11.096795627984955,13.513804803598683,-11.129699006829172,BRCA
sample_53,-13.759589739233993,-27.270888583138767,25.52173278384674,PRAD
sample_54,0.05045791370833547,44.90675524613712,17.941084133904983,COAD
sample_55,-14.027625269250633,15.038790815071039,-6.18783992470049,BRCA
sample_56,-20.05866198273695,2.887623577791383,-26.822037805266326,BRCA
sample_57,7.502390582819405,30.118975145534375,17.346679972814762,COAD
sample_58,40.48400570766811,-14.732033558427617,0.48105115451775454,KIRC
sample_59,-17.878502157020492,-13.328356851006145,-16.381681944879823,BRCA
sample_60,-0.6145209525328074,16.639491805369016,4.44193138458065,LUAD
sample_61,8.533976939846903,-3.4138568222312675,-3.2183976367552742,KIRC
sample_62,-13.542536362085587,-12.1650464599949,-18.971597796214443,BRCA
sample_63,1.2508870738335098,13.413476807059576,4.907138076986013,LUAD
sample_64,-19.546287917963223,-15.29359603928842,28.135289411402148,PRAD
sample_65,5.548683949159169,42.55653854987338,22.378864428569933,COAD
sample_66,-12.761536284336405,-11.95986875421356,-11.204844485877974,BRCA
sample_67,-17.79174038736565,-25.95020253432765,28.734890007156107,PRAD
sample_68,47.171183246924286,-9.05371947054703,-7.889364395516402,KIRC
sample_69,-10.343110443932597,4.023996522811124,-10.653265986811984,BRCA
sample_70,48.88672901333118,-9.133601812075845,-4.280002530349528,KIRC
sample_71,-15.801462747880949,-9.101132916585453,-16.688973436202296,BRCA
sample_72,-17.124792754622252,-6.300027527596108,-16.13123909702172,BRCA
sample_73,3.9968916654954176,11.449068934104574,7.614133405212598,LUAD
sample_74,-7.326117592474508,7.775860038414999,-13.337028930842733,BRCA
sample_75,-1.4224901232526,25.44711066944027,1.4516538696085934,LUAD
sample_76,-17.958025592787997,-10.650723606022792,-19.25765375927729,BRCA
sample_77,33.326420240840754,2.5735494440286057,-4.541544055604976,KIRC
sample_78,-18.59606892073342,-24.39146776037764,29.966504380553072,PRAD
sample_79,0.8360731799974693,36.49840975031709,23.38796690500672,COAD
sample_80,-16.29678751578208,4.065705043195498,-22.835378645452668,BRCA
sample_81,-12.962350043204568,-23.154641861855133,30.197699981345462,PRAD
sample_82,-17.893293056753254,0.4279006629795108,-16.761561223415388,BRCA
sample_83,-14.697381247391563,-1.4554583602125497,-24.349677852068965,BRCA
sample_84,-13.28032841821445,-27.76918496605615,29.006636151810905,PRAD
sample_85,-13.599969585596615,-26.580584592132965,32.478167851607445,PRAD
sample_86,-16.267637161956493,8.236576058161221,-14.562543630417757,BRCA
sample_87,-23.157484524881585,-1.5495084619292954,-25.202979568309004,BRCA
sample_88,51.0148798134766,-12.68266353431208,-3.349201758846898,KIRC
sample_89,-9.166774986780034,10.90328961609487,-15.049969668915118,BRCA
sample_90,-18.91128268935149,-24.73210039972811,28.538524014125244,PRAD
sample_91,-15.474404706420254,-22.838199370068395,28.38170203337682,PRAD
sample_92,-12.409370700750308,-6.221768217145567,-20.39111257802181,BRCA
sample_93,-15.876944555679323,-5.8077478252163495,-15.597572135164363,BRCA
sample_94,-19.97231820447045,-5.90096310618878,-19.629078688263586,BRCA
sample_95,-19.336785710314913,-28.677840363043366,32.00247207743774,PRAD
sample_96,4.4072740650449385,41.71104193106855,21.387740409118706,COAD
sample_97,-18.915122542640297,2.6165124366968926,-26.885145885192525,BRCA
sample_98,-14.76986092301721,-26.79479384753603,29.63733569963021,PRAD
sample_99,-13.438014983921954,-3.433609978106579,-22.002854874912686,BRCA
sample_100,-15.710411320220006,-2.757872419277101,-19.291640397274055,BRCA
sample_101,48.771517633955995,-13.744640266519758,-5.048543810078685,KIRC
sample_102,-18.386133357739936,-7.073138869510554,-13.974152938633145,BRCA
sample_103,51.05235451930563,-10.427782630967004,-5.730622890658573,KIRC
sample_104,0.4825313841817794,17.654831078266135,4.095379148009884,LUAD
